"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ATP5MG",0,0.79241404296094,0.829,0.636,0
"CASP1",0,0.600474337862663,0.439,0.239,0
"FAU",0,1.08351300903851,0.922,0.84,0
"IL10RA",0,0.488726524614764,0.522,0.276,0
"RNH1",0,0.627789751457812,0.572,0.314,0
"C11orf24",0,0.341807623570721,0.205,0.05,0
"PLEKHA7",0,0.467154151450933,0.457,0.215,0
"SPCS2",0,1.36953718718417,0.722,0.518,0
"LDHA",0,0.883148230436945,0.739,0.568,0
"ANXA11",0,0.445744311429467,0.594,0.382,0
"MYOF",0,0.530480760336816,0.248,0.067,0
"RASSF4",0,0.808716585284091,0.346,0.111,0
"GSTO1",0,0.771338141674909,0.667,0.43,0
"EIF3A",0,0.443567840696232,0.725,0.536,0
"PGAM1",0,0.591066246271769,0.588,0.344,0
"RTKN2",0,-0.755047257271462,0.076,0.284,0
"BAG3",0,1.51311050041987,0.154,0.031,0
"ATP5MK",0,0.76499865134966,0.742,0.507,0
"PPA1",0,0.955076212309462,0.578,0.294,0
"VSIR",0,0.793730818452263,0.521,0.312,0
"PAPSS2",0,1.10878693735443,0.225,0.049,0
"ARID5B",0,1.15341777803098,0.579,0.341,0
"NDUFB8",0,0.593059344054803,0.613,0.386,0
"FUOM",0,0.306306499017925,0.234,0.069,0
"PSAP",0,1.17680785709528,0.768,0.619,0
"DDX21",0,0.598323225324384,0.644,0.425,0
"ANKRD22",0,0.493210744712534,0.134,0.026,0
"VIM",0,1.43184508598242,0.874,0.81,0
"WDFY4",0,0.2991661094873,0.385,0.189,0
"BLNK",0,0.570162994673597,0.231,0.074,0
"RPS24",0,0.854014949832115,0.928,0.874,0
"VDAC2",0,0.520953322307403,0.57,0.358,0
"ETV6",0,0.714137308247984,0.838,0.675,0
"BCAT1",0,0.981444017170295,0.368,0.113,0
"TMBIM6",0,0.879540464059024,0.823,0.656,0
"ALDH1L2",0,0.638246451503005,0.152,0.023,0
"ALDH2",0,0.768608047795547,0.438,0.141,0
"CKAP4",0,0.527523681601661,0.302,0.12,0
"DRAM1",0,1.19093964812629,0.435,0.191,0
"ITPR2",0,0.994537888849325,0.771,0.629,0
"TAOK3",0,0.608074327262841,0.84,0.691,0
"CPM",0,1.77805031734085,0.329,0.102,0
"CHPT1",0,0.799049360775584,0.407,0.19,0
"COX6A1",0,0.734773508587379,0.713,0.501,0
"CD4",0,0.691020231469973,0.345,0.14,0
"TPI1",0,0.710993557995551,0.741,0.594,0
"CORO1C",0,0.597292046118768,0.49,0.275,0
"KLRC1",0,-0.530543860265714,0.117,0.353,0
"CD63",0,0.958016250712011,0.803,0.704,0
"CD9",0,0.56122197873546,0.241,0.072,0
"ATP5F1B",0,0.563559796421848,0.645,0.432,0
"NACA",0,0.978975439285491,0.895,0.792,0
"PFDN5",0,0.907132069935292,0.874,0.711,0
"MRPL51",0,0.511186998654221,0.565,0.364,0
"GAPDH",0,1.18155545173927,0.884,0.788,0
"CD163",0,1.17930047984568,0.264,0.063,0
"HSP90B1",0,1.57759393456606,0.755,0.55,0
"ARPC3",0,0.800782408654178,0.883,0.75,0
"RPS26",0,0.539230750350902,0.892,0.809,0
"RPL41",0,1.03717945627847,0.954,0.961,0
"MYL6",0,0.820623216407741,0.91,0.838,0
"SLC25A3",0,0.811710919774186,0.734,0.525,0
"ERP29",0,0.861108767706678,0.622,0.406,0
"SLC41A2",0,0.511331928000252,0.251,0.094,0
"PCBP2",0,0.508812330475023,0.763,0.566,0
"ATP5MC2",0,0.678409407021225,0.776,0.583,0
"RPL6",0,0.849180647183044,0.907,0.84,0
"UBC",0,1.33640932430764,0.896,0.773,0
"TMBIM4",0,0.573611005097834,0.694,0.51,0
"BLOC1S1",0,0.51129828057877,0.589,0.392,0
"RPLP0",0,1.14321290400871,0.857,0.705,0
"WNT5B",0,0.686817859769699,0.209,0.063,0
"BHLHE41",0,0.737447656530622,0.144,0.009,0
"DENND5B",0,0.947738742692962,0.298,0.122,0
"SRGAP1",0,1.45489258846113,0.254,0.044,0
"METTL7A",0,0.692301127730499,0.359,0.134,0
"KRT86",0,-0.748310308319822,0.09,0.345,0
"KRT81",0,-0.554991955983862,0.094,0.306,0
"ARL6IP4",0,0.632029301192057,0.645,0.441,0
"OS9",0,0.562017797779381,0.575,0.344,0
"SOX5",0,1.06680929078015,0.298,0.124,0
"IGF1",0,0.823700674086294,0.116,0.005,0
"KLRB1",0,-0.545923210885873,0.311,0.637,0
"SPATS2",0,0.728022100055102,0.378,0.193,0
"SRSF9",0,0.708354450119778,0.674,0.449,0
"DNAJC15",0,0.644872082602353,0.588,0.341,0
